kolorowanka,Example,Stimuli,proby.thisRepN,proby.thisTrialN,proby.thisN,proby.thisIndex,zapoznanie.thisRepN,zapoznanie.thisTrialN,zapoznanie.thisN,zapoznanie.thisIndex,Warunki.thisRepN,Warunki.thisTrialN,Warunki.thisN,Warunki.thisIndex,Intro.started,Intro_resp.started,Intro_resp.keys,Intro_resp.rt,Kolorowanie1.started,starttt.started,starttt.keys,starttt.rt,koloruj.started,Instruction.started,key_resp.started,key_resp.keys,key_resp.rt,Wyjasnienie.started,text.started,odp_przyk.started,odp_przyk.keys,odp_przyk.corr,odp_przyk.rt,zapo.started,Zadanie.started,Odp.started,Odp.keys,Odp.corr,Odp.rt,zapo.stopped,thanks.started,KONIEC.started,KONIEC.keys,KONIEC.rt,participant,Wiek (w latach),Płeć (K/M),Entropia,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,25.927799639990600,27.904059513937700,space,13.24908445798790,,,,,,,,,,,,,,,,,,,,,,,,,,,25,23,K,W,2023-01-05_15h05.11.204,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,<<<<<,,0,0,0,0,0,0,0,0,,,,,,,,,41.20541598997080,42.16354506998320,space,7.821783947991210,50.01504649198610,350.0091449950120,352.00183288101100,space,34.34782520600130,386.38117387192300,395.3590334149780,395.3590334149780,left,0,1.779212274006570,,,,,,,,,,,,25,23,K,W,2023-01-05_15h05.11.204,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,<<><<,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,398.14063342590800,398.14063342590800,right,0,1.3444435610435900,,,,,,,,,,,,25,23,K,W,2023-01-05_15h05.11.204,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,>><>>,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,400.4922505239960,400.4922505239960,left,0,1.031859935959800,,,,,,,,,,,,25,23,K,W,2023-01-05_15h05.11.204,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,--<--,,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,402.5518656480130,402.5518656480130,left,0,1.0442295159446100,,,,,,,,,,,,25,23,K,W,2023-01-05_15h05.11.204,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,-->--,,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,404.6086238839200,404.6086238839200,right,0,1.0063345519593000,,,,,,,,,,,,25,23,K,W,2023-01-05_15h05.11.204,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,>>>>>,,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,,,406.6216608280080,406.6216608280080,right,0,1.0863479200052100,,,,,,,,,,,,25,23,K,W,2023-01-05_15h05.11.204,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,0,,,,,0,0,0,22,,,,,,,,,,,,,,,,,,,,408.7100460989170,416.71730399201600,416.71730399201600,right,0,1.0485789669910400,415.73053284396900,,,,,25,23,K,W,2023-01-05_15h05.11.204,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,0,,,,,0,1,1,27,,,,,,,,,,,,,,,,,,,,,418.76515453099300,418.76515453099300,right,0,0.959426780929789,,,,,,25,23,K,W,2023-01-05_15h05.11.204,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>>>>>,0,0,0,0,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,420.74042269191700,420.74042269191700,right,0,0.9101754679577430,,,,,,25,23,K,W,2023-01-05_15h05.11.204,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,0,,,,,0,3,3,15,,,,,,,,,,,,,,,,,,,,,422.6746066629420,422.6746066629420,left,0,1.0639210279332500,,,,,,25,23,K,W,2023-01-05_15h05.11.204,Flanker,2022.2.4,None,
